id,prompt,A,B,C,D,answer,explanation,chapter,tags
3-13,Which statement about primary structure is TRUE?,It is stabilized by hydrogen bonds,It is the amino acid sequence of a polypeptide,It requires chaperones,It is always helical,B,Primary structure is simply the linear order of amino acids.,3,"proteins,primary"
3-14,An amino acid with a carboxylate side chain at physiological pH is classified as:,Basic,Acidic,Nonpolar,Aromatic,B,"Carboxylate (–COO−) indicates an acidic, negatively charged side chain.",3,"proteins,side-chains"
4-01,DNA and RNA differ because RNA…,Contains thymine,Uses deoxyribose,Has a 2′-OH on ribose,Is always double-stranded,C,RNA’s 2′-OH makes it more reactive and less stable.,4,"nucleic-acids,rna"
4-02,Chargaff’s rule states that in DNA…,A=G and C=T,A=T and C=G,A=C and G=T,A+T=C+G always,B,"Purines pair with pyrimidines: A with T, C with G.",4,"dna,chargaff"
4-03,Nucleotides polymerize via phosphodiester bonds linking…,Base to base,5′ phosphate to 3′ hydroxyl,2′ to 5′ carbons,3′ phosphate to 5′ hydroxyl,B,Backbone links 5′-P of one to 3′-OH of next nucleotide.,4,"nucleic-acids,polymerization"
4-04,DNA strands are…,Parallel and identical,Antiparallel and complementary,Parallel and complementary,Antiparallel and identical,B,They run in opposite directions and base pair specifically.,4,"dna,double-helix"
4-05,Which feature contributes MOST to DNA’s chemical stability?,Reactive 2′-OH group,Hydrophobic base stacking within the helix,Single-strandedness,Ribose sugar,B,Hydrophobic interactions and H-bonds stabilize the helix.,4,"dna,stability"
4-06,An RNA hairpin is a form of…,Primary structure,Secondary structure with intramolecular base pairing,Quaternary structure,DNA-RNA hybrid,B,RNA bases often pair within the same strand to form hairpins.,4,"rna,secondary"
4-07,ATP is an example of a…,Disaccharide,Nucleotide triphosphate,Tetrapeptide,Fatty acid,B,ATP is a ribonucleotide with three phosphates.,4,"nucleotides,energy"
4-08,The sugar–phosphate backbone of DNA is…,Hydrophobic,Hydrophilic and faces the exterior,Nonpolar,Aromatic,B,The negative phosphates make the backbone hydrophilic.,4,"dna,structure"
5-01,The general formula for many monosaccharides is:,(C2H4O),(CH2O)n,(C3H6O2)n,(C2H2O3)n,B,Carbohydrates follow the empirical formula (CH2O)n.,5,"carbohydrates,basics"
5-02,An aldose differs from a ketose by the position of the…,Hydroxyl group,Carbonyl group,Methyl group,Phosphate group,B,Aldose has carbonyl at the end; ketose in the middle.,5,"carbohydrates,monosaccharides"
5-03,Starch is primarily composed of…,"β-1,4-linked glucose","α-1,4 glucose with some α-1,6 branches",Fructose monomers,N-acetylglucosamine,B,"Amylose (α-1,4) and amylopectin (α-1,4 with α-1,6 branches).",5,"starch,polysaccharides"
5-04,Cellulose provides structural support in plants due to…,Helical coils,"β-1,4 linkages forming straight strands with H-bonding","α-1,6 branching",Peptide crosslinks,B,Alternating flipped glucose allows parallel H-bonded fibers.,5,"cellulose,structure"
5-05,Glycogen’s many branches are advantageous because they…,Increase tensile strength,Slow glucose release,Provide many ends for rapid glucose mobilization,Prevent hydrolysis,C,Branch ends allow quick addition/removal of glucose.,5,"glycogen,energy-storage"
5-06,Peptidoglycan is unique because it contains…,DNA crosslinks,Amino acid chains linking sugar strands,"β-1,6 glycosidic bonds",Sterol intercalation,B,Peptide bridges connect carbohydrate chains in bacteria.,5,"peptidoglycan,bacteria"
5-07,Glycoproteins and glycolipids primarily function in…,Energy production,Cell–cell recognition and signaling,DNA replication,Transcription,B,Carbohydrate moieties display identity and mediate signaling.,5,"cell-identity,membranes"
5-08,Which linkage is harder for most animals to hydrolyze?,α-glycosidic,β-glycosidic,Ester,Peptide,B,"β linkages (e.g., cellulose) are generally indigestible to animals.",5,"carbs,enzymes"
6-01,Phospholipids are described as amphipathic because they have…,Only hydrophobic regions,Only hydrophilic regions,Both hydrophilic heads and hydrophobic tails,Charged tails only,C,This drives spontaneous bilayer formation in water.,6,"membranes,phospholipids"
6-02,Which change DECREASES membrane permeability at room temperature?,More unsaturated tails,Shorter tails,Adding cholesterol,Fewer lipids,C,Cholesterol fills gaps and reduces fluidity/permeability.,6,"membranes,cholesterol"
6-03,"At lower temperature, a membrane with saturated long tails will become…",More fluid,Less fluid and less permeable,More permeable to ions,Unaffected,B,Tighter packing reduces fluidity and permeability.,6,"membranes,temperature"
6-04,Diffusion refers to net movement of solutes from…,Low to high concentration,High to low concentration,Hot to cold,Outside to inside only,B,Movement down concentration gradients increases entropy.,6,"diffusion,basic"
6-05,Osmosis is…,Diffusion of water across a selectively permeable membrane,Active transport of ions,Endocytosis of liquids,Any solvent movement in any medium,A,Water moves toward higher solute concentration.,6,osmosis
6-06,A cell in a hypertonic solution will…,Gain water and swell,Lose water and shrink,Stay the same,Lyse immediately,B,Water exits toward the higher external solute concentration.,6,tonicity
6-07,Integral membrane proteins typically contain…,Hydrophilic α-helices spanning the bilayer,Hydrophobic α-helices in the core region,Only β-sheets on the surface,No hydrophobic residues,B,Transmembrane segments are hydrophobic to match tails.,6,membrane-proteins
6-08,Peripheral membrane proteins…,Span the bilayer,Are covalently attached to lipids only,Associate with one side of the membrane,Are located only in the nucleus,C,They bind to membrane surfaces or integral proteins.,6,membrane-proteins
6-09,Selectively permeable membranes allow…,Only ions to cross,All molecules freely,Some molecules more readily than others,No molecules at all,C,"Permeability depends on size, polarity, and charge.",6,"membranes,permeability"
6-10,Facilitated diffusion requires…,ATP hydrolysis,Carrier or channel proteins but no ATP,Endocytosis,Proton pumps,B,It is passive movement via specific proteins.,6,"transport,facilitated"
6-11,Primary active transport differs from secondary active transport because primary…,Moves down gradients,Uses ATP directly to move solutes against gradients,Uses light energy only,Uses proton motive force created elsewhere,B,Secondary uses energy stored in another gradient; primary uses ATP.,6,"transport,active"
6-12,Aquaporins increase membrane permeability specifically to…,Na+,Water,Glucose,Cl−,B,Aquaporin channels conduct water rapidly.,6,"transport,channels"
7-01,Prokaryotic DNA is typically…,Linear and in a nucleus,Circular and in a nucleoid,Linear and in mitochondria,Circular and in chloroplasts only,B,Bacteria and archaea contain circular chromosomes in the nucleoid.,7,"cells,prokaryotes"
7-02,Which organelle is the main site of lipid synthesis?,Rough ER,Smooth ER,Golgi apparatus,Lysosome,B,SER catalyzes lipid biosynthesis.,7,"organelles,ER"
7-03,Proteins destined for secretion begin translation on…,Free ribosomes and are targeted to RER by an SRP,Mitochondrial ribosomes,Nuclear ribosomes,Chloroplast ribosomes,A,Signal peptide + SRP direct nascent polypeptide to RER.,7,"endomembrane,signal"
7-04,The Golgi apparatus is organized with…,Random vesicles,cis face receiving and trans face shipping,Only trans cisternae,Only cis cisternae,B,Cis receives from ER; trans sends to final destinations.,7,"golgi,sorting"
7-05,Lysosomes contain…,Basic hydrolases active at high pH,Acid hydrolases active at low pH,DNA replication enzymes,Ribosomal subunits,B,Acidic lumen enables macromolecule digestion.,7,"lysosome,digestion"
7-06,Peroxisomes primarily perform…,Photosynthesis,Protein secretion,Oxidation reactions; detoxification (catalase),DNA transcription,C,Peroxisomes carry out redox reactions including H2O2 detox.,7,"peroxisome,redox"
7-07,Mitochondrial cristae increase…,DNA content,Surface area for oxidative phosphorylation,Ribosomal activity,Glycolysis rate,B,Cristae amplify inner membrane area for ETC/ATP synthase.,7,"mitochondria,ATP"
7-08,Evidence for endosymbiosis includes mitochondria and chloroplasts having…,Linear DNA,80S ribosomes identical to cytosol,Circular DNA and prokaryote-like ribosomes,Cell walls of peptidoglycan,C,They replicate and transcribe more like bacteria.,7,endosymbiosis
7-09,Actin filaments are involved in all EXCEPT:,Muscle contraction,Cytokinesis (cleavage furrow),Chromosome segregation at mitosis,Cell crawling,C,Microtubules segregate chromosomes.,7,"cytoskeleton,actin"
7-10,Microtubules originate from the…,Nucleolus,Centrosome (MTOC) in animal cells,Golgi,Lysosome,B,Centrosome contains centrioles; nucleates microtubules.,7,"cytoskeleton,microtubules"
7-11,Kinesin generally moves toward the…,Minus end,Plus end,Actin filament barbed end,Intermediate filaments,B,Kinesin is plus-end-directed on microtubules.,7,motor-proteins
7-12,Phagocytosis delivers material to…,Golgi cis face,Smooth ER,Lysosomes for degradation,Peroxisomes only,C,Phagosomes fuse with lysosomes to digest cargo.,7,"endocytosis,lysosome"
8-01,An exergonic reaction has…,ΔG < 0,ΔG = 0,ΔG > 0,Undefined ΔG,A,Negative free energy change means spontaneous (thermodynamically).,8,"thermo,free-energy"
8-02,ΔG = ΔH – TΔS indicates that reactions are more favorable when…,ΔH is positive and ΔS is negative,ΔH is negative and/or ΔS is positive,Both ΔH and ΔS are negative,Temperature is zero,B,Exothermic and entropy-increasing effects favor spontaneity.,8,thermo
8-03,ATP hydrolysis commonly drives reactions by…,Providing electrons,Lowering temperature,Phosphorylating substrates/enzymes to raise their free energy,Reducing ΔH of reaction,C,Phosphorylation couples energy to endergonic steps.,8,"ATP,coupling"
8-04,Oxidation is…,Gain of electrons,Loss of electrons,Gain of protons only,Neither gain nor loss,B,LEO says GER: Loss of Electrons is Oxidation.,8,redox
8-05,A biological catalyst increases reaction rate by…,Lowering activation energy,Raising activation energy,Changing ΔG to negative,Increasing product stability only,A,Lower Ea speeds reactions without changing ΔG.,8,"enzymes,kinetics"
8-06,Feedback inhibition occurs when…,Substrate inhibits the enzyme,End product of a pathway inhibits an early enzyme,ATP binds to active site as substrate,An enzyme inhibits itself covalently,B,Conserves resources by shutting down pathways when products accumulate.,8,"metabolism,regulation"
8-07,Transition state stabilization explains that enzymes…,Bind products tightly only,Bind the transition state with highest affinity,Do not bind substrates at all,Always form covalent intermediates,B,Lowering energy of TS lowers activation energy.,8,"enzymes,mechanism"
8-08,Coenzymes such as NAD+ are best described as…,Small organic cofactors required for enzyme function,Metal ions bound to enzymes,Allosteric inhibitors,Irreversible denaturants,A,Coenzymes participate in catalysis; often derived from vitamins.,8,"cofactors,enzymes"
9-01,Where does glycolysis occur in eukaryotic cells?,Mitochondrial matrix,Cytosol,Inner mitochondrial membrane,Intermembrane space,B,Glycolysis is cytosolic.,9,"glycolysis,location"
9-02,Net products of glycolysis per glucose are:,"2 ATP, 2 NADH, 2 pyruvate","4 ATP, 0 NADH, 2 acetyl-CoA","2 ATP, 0 NADH, 2 lactate","0 ATP, 2 NADH, 2 pyruvate",A,"Two ATP net (four made, two used), 2 NADH, 2 pyruvate.",9,"glycolysis,stoichiometry"
9-03,Pyruvate is converted to acetyl-CoA in the…,Cytosol,Mitochondrial matrix,Inner membrane,Golgi,B,Pyruvate dehydrogenase complex resides in the matrix.,9,"pyruvate,PDH"
9-04,Citric acid cycle produces per glucose:,"2 ATP (or GTP), 6 NADH, 2 FADH2, 4 CO2","2 ATP, 2 NADH, 0 FADH2, 2 CO2","4 ATP, 2 NADH, 2 FADH2, 6 CO2",30 ATP,A,Two turns for one glucose yield these totals.,9,"TCA,stoichiometry"
9-05,The final electron acceptor of the ETC is…,NAD+,FAD,Oxygen,Water,C,O2 accepts electrons at Complex IV to form water.,9,"ETC,oxygen"
9-06,Chemiosmosis describes ATP production driven by…,Glucose gradient,Proton gradient across a membrane,Na+/K+ pump,CO2 diffusion,B,Proton motive force powers ATP synthase.,9,"chemiosmosis,ATP-synthase"
9-07,Phosphofructokinase is inhibited by high…,AMP,ATP,CO2,Acetyl-CoA,B,"High ATP signals energy sufficiency, slowing glycolysis.",9,"regulation,glycolysis"
9-08,"In anaerobic conditions, fermentation is important because it…",Produces 30 ATP,Regenerates NAD+ for glycolysis,Consumes O2 rapidly,Generates FADH2,B,Allows glycolysis to continue by oxidizing NADH.,9,"fermentation,NAD+"
9-09,Most ATP from aerobic respiration is generated during…,Glycolysis substrate-level phosphorylation,Citric acid cycle,Oxidative phosphorylation,Fermentation,C,ETC + chemiosmosis produce the majority of ATP.,9,oxidative-phosphorylation
9-10,FADH2 contributes fewer ATP than NADH because…,It carries fewer electrons,It donates electrons later in the ETC at Complex II,It cannot be oxidized,It diffuses out of mitochondria,B,Bypassing Complex I yields fewer protons pumped.,9,"ETC,FADH2"
9-11,Uncouplers reduce ATP synthesis by…,Blocking ATP synthase active site,Making the inner membrane leaky to protons,Inhibiting glycolysis,Increasing NADH production,B,They dissipate the proton gradient.,9,"ETC,chemiosmosis"
9-12,Which statement best describes substrate-level phosphorylation?,ATP made by ATP synthase,Direct transfer of phosphate to ADP from a high-energy intermediate,Requires oxygen,Occurs only in mitochondria,B,Occurs in glycolysis and TCA (GTP/ATP).,9,"ATP,substrate-level"
10-01,Where do the light reactions occur?,Stroma,Thylakoid membrane,Outer chloroplast membrane,Cytosol,B,ETC components and photosystems reside in the thylakoid membrane.,10,"photosynthesis,location"
10-02,Photolysis of water (O2 release) occurs at…,PSI,PSII,Rubisco,ATP synthase,B,PSII replaces excited electrons by splitting water.,10,"PSII,oxygen-evolution"
10-03,Immediate products of light reactions are…,CO2 and G3P,ATP and NADPH (plus O2),RuBP and ATP,Glucose,B,ATP and NADPH power the Calvin cycle; O2 is a by-product.,10,light-reactions
10-04,The Calvin cycle’s carbon fixation step uses…,Rubisco to add CO2 to RuBP,PEP carboxylase in mesophyll only,Ferredoxin to reduce NADP+,PSII to split water,A,Rubisco catalyzes RuBP carboxylation.,10,"calvin,fixed-carbon"
10-05,Which is a product directly exported from the Calvin cycle for sugar synthesis?,RuBP,G3P (triose phosphate),Glucose,OAA,B,One G3P exits per three CO2 fixed.,10,"calvin,products"
10-06,The Z-scheme describes…,Arrangement of chloroplast stacks,Electron flow from PSII to PSI to NADP+,Stomatal control,CO2 diffusion into leaves,B,Depicts energy changes of electrons through both photosystems.,10,"Z-scheme,electron-transport"
10-07,C4 plants reduce photorespiration by…,Opening stomata at night only,Spatially concentrating CO2 in bundle-sheath cells,Using only PSI,Reducing Rubisco amount to zero,B,PEP carboxylase fixes CO2 in mesophyll; CO2 released to bundle sheath.,10,"C4,photorespiration"
10-08,CAM plants…,Fix CO2 during the day only,Open stomata at night and store malate for daytime Calvin cycle,Do not use Rubisco,Cannot survive arid climates,B,Temporal separation conserves water.,10,"CAM,water-balance"
10-09,Photorespiration occurs when Rubisco binds…,CO2,O2,H2O,NADPH,B,O2 addition wastes energy and releases CO2.,10,photorespiration
10-10,ATP synthase in chloroplasts makes ATP in the…,Thylakoid lumen,Stroma,Cytosol,Intermembrane space,B,Protons flow from lumen to stroma driving ATP synthesis.,10,photophosphorylation
10-11,Which carrier transfers electrons between PSII and PSI?,Cytochrome c,Plastocyanin (PC),Ubiquinone,Ferredoxin (Fd) only,B,PC is the mobile copper protein between the photosystems.,10,electron-carriers
10-12,Which statement about noncyclic vs cyclic photophosphorylation is TRUE?,Cyclic uses both PSII and PSI,Cyclic involves PSI only and makes extra ATP but no NADPH,Noncyclic produces only ATP,Noncyclic does not require water,B,Cyclic PSI routes electrons to cytochrome complex to boost ATP.,10,"light-reactions,cyclic"
10-13,"What happens when stomata close on a hot, dry day in C3 plants?",CO2 in leaf rises and photorespiration increases,CO2 in leaf drops and photorespiration increases,O2 drops and photosynthesis stops immediately,Calvin cycle accelerates,B,"CO2 decreases while O2 accumulates, favoring Rubisco oxygenase.",10,"gas-exchange,photorespiration"
10-14,Where are thylakoids located?,Mitochondrial matrix,Chloroplast stroma forming stacked grana,Cytosol,Nucleus,B,Thylakoid membranes form grana within the stroma.,10,"chloroplast,structure"
11-01,Tight junctions primarily…,Anchor intermediate filaments,Seal neighboring cells to prevent leakage,Allow small molecules to pass,Connect cells to ECM,B,Tight junctions form a barrier to paracellular flow.,11,"junctions,tight"
11-02,Desmosomes are characterized by…,Cadherins linking to intermediate filaments,Connexons forming channels,Occludin claudin strands,Integrins binding collagen,A,Desmosomes provide mechanical strength via cadherins/IFs.,11,"junctions,desmosomes"
11-03,Gap junctions in animals are analogous to what in plants?,Tight junctions,Plasmodesmata,Desmosomes,Hemidesmosomes,B,Both allow cytoplasmic continuity between cells.,11,"gap-junctions,plasmodesmata"
11-04,Steroid hormones generally signal by…,Binding membrane GPCRs only,Crossing membranes and binding intracellular receptors,Opening ion channels directly,Activating RTKs exclusively,B,Hydrophobic steroids diffuse and alter gene expression.,11,"signaling,steroids"
11-05,GPCR activation typically leads to…,Dimerization and autophosphorylation,GTP binding to Gα and second messenger production,Nuclear pore opening,ATP synthesis,B,"Activated Gα stimulates effectors (adenylyl cyclase, PLC).",11,"GPCR,second-messenger"
11-06,RTKs first…,Open channels,Dimerize and autophosphorylate tyrosines,Hydrolyze cAMP,Release steroid hormones,B,This creates docking sites for signaling proteins.,11,"RTK,kinase"
11-07,Second messengers include…,cAMP and Ca2+,DNA and RNA,ATP synthase,Rubisco,A,Small molecules that rapidly amplify signals.,11,second-messengers
11-08,The plant cell wall’s primary load-bearing polymer is…,Collagen,Cellulose,Elastin,Keratin,B,Cellulose microfibrils provide tensile strength.,11,"ECM,cell-wall"
11-09,The animal ECM is rich in…,Cellulose,Peptidoglycan,Collagen and proteoglycans,Chitin,C,Collagen fibers within a proteoglycan matrix.,11,"ECM,animals"
11-10,Signal transduction typically follows which order?,Response→Transduction→Reception,Reception→Transduction→Response,Transduction→Reception→Response,Reception→Response only,B,"Cells detect, relay/amplify, then execute a response.",11,"signaling,overview"
12-01,DNA replication occurs during…,G1,S phase,G2,M phase,B,S stands for synthesis of DNA.,12,"cell-cycle,S-phase"
12-02,Which event defines metaphase?,Chromosomes condense,Nuclear envelope breaks down,Chromosomes align at the spindle equator,Sister chromatids separate,C,Alignment at the metaphase plate precedes anaphase.,12,"mitosis,metaphase"
